monitoring_location_id,datetime,characteristic,parameter_code,value,unit,fraction,detection_condition,qualifier,lab_name,priority_group,huc8
TCEQMAIN-10249,2004-08-04,Nitrite,,0.06,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2004-10-25,Nitrite,,0.15,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2000-10-16,Nitrogen,,0.54,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2001-01-04,Nitrogen,,0.65,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2001-04-11,Nitrogen,,0.48,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2001-07-12,Nitrogen,,0.61,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2001-11-06,Nitrogen,,0.47,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2002-01-29,Nitrogen,,0.56,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2002-04-30,Nitrogen,,0.52,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2002-07-30,Nitrogen,,0.51,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2002-12-17,Nitrogen,,0.43,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2003-10-30,Nitrogen,,1.55,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2004-01-29,Nitrogen,,1.12,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2004-04-19,Nitrogen,,1.6,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2004-08-04,Nitrogen,,0.92,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2004-10-25,Nitrogen,,1.02,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2005-04-11,Nitrogen,,1.09,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2005-08-04,Nitrogen,,0.88,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2005-11-15,Nitrogen,,1.35,mg/L,Total,,,,nitrogen,13090002
